2010 Federal Election House of Representatives seats which have changed hands [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:21 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,PreviousPartyAb,PreviousPartyNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm
NSW,105,Bennelong,ALP,Australian Labor Party,21648,ALEXANDER,John,LP,Liberal
QLD,310,Bonner,ALP,Australian Labor Party,20751,VASTA,Ross Xavier,LNQ,Liberal National Party of Queensland
QLD,156,Brisbane,ALP,Australian Labor Party,20740,GAMBARO,Teresa,LNQ,Liberal National Party of Queensland
QLD,158,Dawson,ALP,Australian Labor Party,20803,CHRISTENSEN,George Robert,LNQ,Liberal National Party of Queensland
TAS,194,Denison,ALP,Australian Labor Party,20881,WILKIE,Andrew,IND,Independent
QLD,311,Flynn,ALP,Australian Labor Party,20809,O'DOWD,Ken,LNQ,Liberal National Party of Queensland
QLD,162,Forde,ALP,Australian Labor Party,21769,VAN MANEN,Bert,LNQ,Liberal National Party of Queensland
NSW,122,Greenway,LP,Liberal,21246,ROWLAND,Michelle,ALP,Australian Labor Party
WA,305,Hasluck,ALP,Australian Labor Party,20876,WYATT,Ken,LP,Liberal
VIC,223,La Trobe,LP,Liberal,21205,SMYTH,Laura,ALP,Australian Labor Party
QLD,168,Leichhardt,ALP,Australian Labor Party,20754,ENTSCH,Warren,LNQ,Liberal National Party of Queensland
QLD,302,Longman,ALP,Australian Labor Party,20752,ROY,Wyatt,LNQ,Liberal National Party of Queensland
NSW,130,Lyne,NP,The Nationals,21912,OAKESHOTT,Robert,IND,Independent
NSW,133,Macquarie,ALP,Australian Labor Party,21790,MARKUS,Louise,LP,Liberal
VIC,226,McEwen,LP,Liberal,21088,MITCHELL,Rob,ALP,Australian Labor Party
VIC,228,Melbourne,ALP,Australian Labor Party,21657,BANDT,Adam,GRN,The Greens
WA,243,O'Connor,LP,Liberal,21139,CROOK,Tony,NP,The Nationals
NT,307,Solomon,ALP,Australian Labor Party,21477,GRIGGS,Natasha,CLP,CLP - The Territory Party
