2013 Federal Election House of Representatives seats which have changed hands [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:35 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PreviousPartyAb,PreviousPartyNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm
NSW,103,Banks,ALP,Australian Labor Party,23182,COLEMAN,David,LP,Liberal
NSW,104,Barton,ALP,Australian Labor Party,23183,VARVARIS,Nickolas,LP,Liberal
TAS,192,Bass,ALP,Australian Labor Party,23294,NIKOLIC,Andrew,LP,Liberal
TAS,193,Braddon,ALP,Australian Labor Party,23270,WHITELEY,Brett,LP,Liberal
QLD,157,Capricornia,ALP,Australian Labor Party,23862,LANDRY,Michelle,LNP,Liberal National Party
VIC,207,Corangamite,ALP,Australian Labor Party,23526,HENDERSON,Sarah,LP,Liberal
VIC,209,Deakin,ALP,Australian Labor Party,23590,SUKKAR,Michael,LP,Liberal
NSW,115,Dobell,ALP,Australian Labor Party,23243,McNAMARA,Karen,LP,Liberal
NSW,117,Eden-Monaro,ALP,Australian Labor Party,23189,HENDY,Peter,LP,Liberal
QLD,160,Fairfax,LNP,Liberal National Party,23396,PALMER,Clive Frederick,PUP,Palmer United Party
SA,185,Hindmarsh,ALP,Australian Labor Party,23656,WILLIAMS,Matt,LP,Liberal
VIC,218,Indi,LP,Liberal,23288,McGOWAN,Cathy,IND,Independent
VIC,223,La Trobe,ALP,Australian Labor Party,23468,WOOD,Jason,LP,Liberal
NSW,128,Lindsay,ALP,Australian Labor Party,23201,SCOTT,Fiona,LP,Liberal
NSW,130,Lyne,IND,Independent,23252,GILLESPIE,David,NP,The Nationals
TAS,196,Lyons,ALP,Australian Labor Party,23278,HUTCHINSON,Eric,LP,Liberal
NSW,135,New England,IND,Independent,23247,JOYCE,Barnaby,NP,The Nationals
WA,243,O'Connor,NP,The Nationals,23944,WILSON,Rick,LP,Liberal
NSW,138,Page,ALP,Australian Labor Party,23363,HOGAN,Kevin,NP,The Nationals
QLD,175,Petrie,ALP,Australian Labor Party,23800,HOWARTH,Luke,LNP,Liberal National Party
NSW,144,Reid,ALP,Australian Labor Party,23205,LAUNDY,Craig,LP,Liberal
NSW,146,Robertson,ALP,Australian Labor Party,23216,WICKS,Lucy,LP,Liberal
