2016 Federal Election House of Representatives seats which have changed hands [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:37 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PreviousPartyAb,PreviousPartyNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm
NSW,104,Barton,LP,Liberal,28964,BURNEY,Linda,ALP,Australian Labor Party
TAS,192,Bass,LP,Liberal,28451,HART,Ross,ALP,Australian Labor Party
TAS,193,Braddon,LP,Liberal,28439,KEAY,Justine,ALP,Australian Labor Party
VIC,205,Chisholm,ALP,Australian Labor Party,28936,BANKS,Julia,LP,Liberal
WA,237,Cowan,LP,Liberal,28727,ALY,Anne,ALP,Australian Labor Party
NSW,115,Dobell,LP,Liberal,28978,McBRIDE,Emma,ALP,Australian Labor Party
NSW,117,Eden-Monaro,LP,Liberal,28993,KELLY,Mike,ALP,Australian Labor Party
QLD,160,Fairfax,PUP,Palmer United Party,28035,O'BRIEN,Ted,LNP,Liberal National Party
QLD,165,Herbert,LNP,Liberal National Party,28997,O'TOOLE,Cathy,ALP,Australian Labor Party
SA,185,Hindmarsh,LP,Liberal,29071,GEORGANAS,Steve,ALP,Australian Labor Party
NSW,128,Lindsay,LP,Liberal,28902,HUSAR,Emma,ALP,Australian Labor Party
QLD,302,Longman,LNP,Liberal National Party,28990,LAMB,Susan,ALP,Australian Labor Party
TAS,196,Lyons,LP,Liberal,28449,MITCHELL,Brian,ALP,Australian Labor Party
NSW,131,Macarthur,LP,Liberal,29070,FREELANDER,Mike,ALP,Australian Labor Party
NSW,133,Macquarie,LP,Liberal,28905,TEMPLEMAN,Susan,ALP,Australian Labor Party
SA,188,Mayo,LP,Liberal,29142,SHARKIE,Rebekha,XEN,Nick Xenophon Team
VIC,231,Murray,LP,Liberal,28406,DRUM,Damian,NP,The Nationals
NSW,249,Paterson,LP,Liberal,28887,SWANSON,Meryl,ALP,Australian Labor Party
NT,307,Solomon,CLP,Country Liberals (NT),28737,GOSLING,Luke,ALP,Australian Labor Party
