2022 Federal Election House of Representatives seats that changed hands [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:58 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PreviousPartyAb,PreviousPartyNm,CandidateID,Surname,GivenNm,PartyAb,PartyNm
NSW,105,Bennelong,LP,Liberal,36827,LAXALE,Jerome,ALP,Australian Labor Party
SA,182,Boothby,LP,Liberal,36979,MILLER-FROST,Louise,ALP,Australian Labor Party
QLD,156,Brisbane,LNP,Liberal National Party of Queensland,37338,BATES,Stephen,GRN,The Greens
VIC,205,Chisholm,LP,Liberal,36382,GARLAND,Carina,ALP,Australian Labor Party
WA,238,Curtin,LP,Liberal,36589,CHANEY,Kate,IND,Independent
NSW,119,Fowler,ALP,Australian Labor Party,36240,LE,Dai,IND,Independent
VIC,214,Goldstein,LP,Liberal,36074,DANIEL,Zoe,IND,Independent
QLD,163,Griffith,ALP,Australian Labor Party,37364,CHANDLER-MATHER,Max,GRN,The Greens
WA,305,Hasluck,LP,Liberal,37317,LAWRENCE,Tania,ALP,Australian Labor Party
VIC,215,Higgins,LP,Liberal,36433,ANANDA-RAJAH,Michelle,ALP,Australian Labor Party
VIC,221,Kooyong,LP,Liberal,36081,RYAN,Monique,IND,Independent
NSW,132,Mackellar,LP,Liberal,37450,SCAMPS,Sophie,IND,Independent
NSW,137,North Sydney,LP,Liberal,37452,TINK,Kylea Jane,IND,Independent
WA,244,Pearce,LP,Liberal,37326,ROBERTS,Tracey,ALP,Australian Labor Party
NSW,144,Reid,LP,Liberal,36917,SITOU,Sally,ALP,Australian Labor Party
NSW,146,Robertson,LP,Liberal,36801,REID,Gordon,ALP,Australian Labor Party
QLD,177,Ryan,LNP,Liberal National Party of Queensland,37370,WATSON-BROWN,Elizabeth,GRN,The Greens
WA,247,Swan,LP,Liberal,37333,MASCARENHAS,Zaneta,ALP,Australian Labor Party
WA,248,Tangney,LP,Liberal,37337,LIM,Sam,ALP,Australian Labor Party
NSW,152,Wentworth,LP,Liberal,37451,SPENDER,Allegra,IND,Independent
